TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    32      10   4.09106667e-05   7.89536031e-03  
    32      11   2.20244603e-05   4.33499778e-03  
    32      12   1.01099695e-05   1.97133748e-03  
    32      13   3.80976683e-06   3.68957894e-04  
    32      14   1.44915544e-06   1.26065496e-04  
    32      15   4.62589564e-07   2.22104126e-05  
    33       1   4.93755251e-02   9.74872882e-01  
    33       2   4.26736023e-03   1.61837801e-02  
    33       3   4.06022669e-04   3.19938951e-01  
    33       4   3.03064308e-04   2.76004952e-02  
    33       5   8.08261706e-05   2.51216349e-02  
    33       6   3.68729162e-05   2.42827837e-03  
    33       7   1.18196320e-05   2.19148122e-03  
    33       8   4.96533891e-06   1.08883200e-04  
    33       9   1.86489408e-06   3.15694240e-04  
    33      10   6.58059184e-07   2.12565837e-05  
    34       1   5.05694279e-02   9.74273768e-01  
    34       2   4.53151031e-03   5.60693214e-03  
    34       3   2.47534785e-04   1.34629938e-01  
    34       4   3.23812955e-04   1.04619235e-01  
    34       5   2.48820189e-04   4.74135794e-02  
    34       6   1.36080069e-04   2.82183004e-02  
    34       7   6.32425083e-05   1.99334807e-02  
    34       8   2.24271582e-05   7.02896274e-03  
    34       9   8.42143403e-06   1.84513089e-04  
    34      10   3.10736406e-06   1.89813467e-04  
    34      11   1.20161132e-06   2.44868672e-05  
    34      12   4.34235285e-07   3.99565494e-05  
    35       1   5.15391536e-02   9.73708621e-01  
    35       2   2.77711500e-03   9.06303045e-02  
    35       3   1.10109427e-03   6.67950548e-02  
    35       4   4.74184879e-04   2.81784368e-03  
    35       5   1.03838459e-04   3.61214310e-03  
    35       6   4.51344231e-05   2.15261976e-03  
    35       7   1.53465891e-05   1.93382957e-04  
    35       8   4.79915778e-06   5.34488572e-04  
    35       9   2.34118799e-06   2.18054739e-04  
    35      10   9.30559000e-07   6.33699329e-05  
    36       1   5.22777365e-02   9.73185399e-01  
    36       2   2.72867665e-03   7.39249232e-02  
    36       3   7.18855982e-04   6.27931983e-02  
    36       4   3.61534956e-04   1.01553334e-02  
    36       5   1.08744798e-04   5.66140276e-03  
    36       6   3.91997456e-05   2.49599366e-03  
    36       7   1.66262233e-05   1.31731378e-03  
    36       8   7.40399865e-06   5.81803463e-04  
    36       9   3.12517446e-06   4.24092319e-05  
    36      10   1.11284683e-06   4.42073532e-05  
    36      11   4.60424154e-07   8.70343137e-06  
    37       1   5.27430436e-02   9.72678420e-01  
    37       2   1.91301288e-03   1.03881424e-01  
    37       3   6.76855102e-04   1.91822651e-02  
    37       4   1.99453223e-04   2.08118785e-02  
    37       5   9.90103305e-05   8.24849989e-03  
    37       6   4.21113726e-05   1.10434051e-03  
    37       7   1.66464684e-05   1.03800575e-03  
    37       8   5.51833812e-06   1.55639857e-04  
    37       9   2.13694940e-06   5.02512726e-05  
    37      10   8.25635447e-07   8.66131026e-06  
    38       1   5.29272717e-02   9.72195673e-01  
    38       2   1.91273065e-03   7.98822034e-02  
    38       3   4.46297175e-04   1.02062734e-01  
    38       4   2.08361006e-04   1.27551553e-03  
    38       5   5.13202139e-05   6.59627274e-03  
    38       6   2.16520030e-05   1.30144542e-03  
    38       7   6.72555627e-06   8.92921384e-04  
    38       8   2.84061598e-06   7.33822390e-05  
    38       9   1.17578888e-06   4.62479709e-05  
    38      10   4.38533374e-07   3.28139620e-05  
    39       1   5.28440358e-02   9.71732085e-01  
    39       2   1.57648122e-03   4.07500829e-02  
    39       3   2.46875782e-04   1.79419040e-02  
    39       4   1.07880365e-04   9.49630169e-03  
    39       5   4.87631307e-05   4.12323170e-03  
    39       6   1.76614024e-05   4.09466311e-04  
    39       7   5.80511784e-06   3.70249848e-04  
    39       8   2.74072347e-06   1.05673577e-04  
    39       9   1.14139507e-06   8.66962509e-05  
    39      10   4.91170727e-07   3.57916062e-06  
    40       1   5.25583756e-02   9.71293017e-01  
    40       2   1.60445907e-03   4.87166738e-02  
    40       3   3.00907725e-04   2.32597591e-02  
    40       4   1.45936805e-04   7.75549891e-03  
    40       5   7.63808005e-05   6.25339976e-03  
    40       6   2.36171896e-05   1.74774433e-04  
    40       7   6.52768086e-06   3.66831743e-04  
    40       8   2.43481284e-06   7.02263698e-05  
    40       9   8.50235967e-07   6.77048613e-05  
    41       1   5.21223190e-02   9.70882115e-01  
    41       2   1.37162763e-03   4.48798079e-02  
    41       3   1.47812277e-04   2.21019387e-02  
    41       4   8.81612170e-05   6.64705123e-03  
    41       5   4.45968341e-05   2.50689485e-03  
    41       6   1.44052863e-05   3.44405040e-04  
    41       7   5.78774197e-06   1.62101646e-04  
    41       8   2.00854834e-06   8.71282248e-05  
    41       9   8.00886559e-07   8.18664251e-06  
    42       1   5.15991354e-02   9.70496011e-01  
    42       2   1.37173862e-03   3.42413316e-02  
    42       3   1.54215862e-04   2.62315996e-02  
    42       4   6.70359423e-05   2.72629301e-03  
    42       5   2.57976114e-05   5.32675124e-04  
    42       6   1.00961223e-05   5.51789150e-04  
    42       7   4.54796219e-06   1.47750889e-04  
    42       8   1.52458016e-06   1.90987815e-04  
    42       9   5.19952753e-07   4.38229798e-05  
    43       1   5.10542035e-02   9.70156628e-01  
    43       2   1.35639856e-03   2.08126327e-02  
    43       3   1.84968440e-04   1.75937110e-02  
    43       4   7.98849256e-05   4.66592965e-03  
    43       5   2.74318342e-05   3.12762758e-03  
    43       6   1.43421177e-05   3.82828760e-04  
    43       7   5.87138898e-06   1.18018741e-04  
    43       8   1.71527328e-06   4.95832292e-05  
    43       9   5.72847131e-07   4.85577418e-05  
