TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
   595    8847      14       1     100       1      12  
   596    8860      13       1     100       1      11  
   597    8873      13       1     100       1      11  
   598    8886      13       1     100       1      11  
   599    8898      12       1     100       1      10  
   600    8911      13       1     100       1      11  
   601    8923      12       1     100       1      10  
   602    8935      12       1     100       1      10  
   603    8948      13       1     100       1      11  
   604    8961      13       1     100       1      11  
   605    8973      12       1     100       1      10  
   606    8987      14       1     100       1      12  
   607    9000      13       1     100       1      11  
   608    9013      13       1     100       1      11  
   609    9028      15       1     100       1      13  
   610    9042      14       1     100       1      12  
   611    9055      13       1     100       1      11  
   612    9069      14       1     100       1      12  
   613    9084      15       1     100       1      13  
   614    9098      14       1     100       1      12  
   615    9111      13       1     100       1      11  
   616    9125      14       1     100       1      12  
   617    9137      12       1     100       1      10  
   618    9151      14       1     100       0      13  
   619    9160       9       1     100       2       6  
   620    9173      13       1     100       1      11  
   621    9186      13       1     100       1      11  
   622    9198      12       1     100       1      10  
   623    9209      11       1     100       1       9  
   624    9221      12       1     100       1      10  
   625    9233      12       1     100       1      10  
   626    9247      14       1     100       1      12  
   627    9260      13       1     100       1      11  
   628    9273      13       1     100       1      11  
   629    9286      13       1     100       1      11  
   630    9299      13       1     100       1      11  
   631    9311      12       1     100       1      10  
   632    9325      14       1     100       1      12  
   633    9338      13       1     100       1      11  
   634    9350      12       1     100       1      10  
   635    9364      14       1     100       1      12  
   636    9381      17       1     100       2      14  
   637    9396      15       1     100       1      13  
   638    9411      15       1     100       1      13  
   639    9424      13       1     100       1      11  
   640    9436      12       1     100       1      10  
   641    9451      15       1     100       1      13  
   642    9466      15       1     100       1      13  
   643    9480      14       1     100       1      12  
   644    9494      14       1     100       1      12  
   645    9509      15       1     100       1      13  
   646    9526      17       1     100       2      14  
   647    9540      14       1     100       1      12  
   648    9553      13       1     100       1      11  
   649    9568      15       1     100       1      13  
   650    9581      13       1     100       1      11  
   651    9594      13       1     100       1      11  
   652    9607      13       1     100       1      11  
   653    9620      13       1     100       1      11  
   654    9634      14       1     100       1      12  
   655    9649      15       1     100       1      13  
   656    9663      14       1     100       1      12  
   657    9676      13       1     100       1      11  
   658    9691      15       1     100       1      13  
   659    9704      13       1     100       1      11  
   660    9716      12       1     100       1      10  
   661    9729      13       1     100       1      11  
   662    9743      14       1     100       1      12  
   663    9763      20       1     100       4      15  
   664    9777      14       1     100       1      12  
   665    9791      14       1     100       1      12  
   666    9805      14       1     100       1      12  
   667    9821      16       1     100       1      14  
   668    9836      15       1     100       1      13  
   669    9851      15       1     100       1      13  
   670    9865      14       1     100       1      12  
   671    9883      18       1     100       1      16  
   672    9897      14       1     100       1      12  
   673    9909      12       1     100       1      10  
   674    9923      14       1     100       1      12  
   675    9937      14       1     100       1      12  
   676    9950      13       1     100       1      11  
   677    9964      14       1     100       1      12  
   678    9977      13       1     100       1      11  
   679    9993      16       1     100       1      14  
   680   10011      18       1     100       1      16  
   681   10025      14       1     100       1      12  
   682   10038      13       1     100       1      11  
   683   10052      14       1     100       1      12  
   684   10067      15       1     100       1      13  
   685   10082      15       1     100       1      13  
   686   10097      15       1     100       1      13  
   687   10111      14       1     100       1      12  
   688   10126      15       1     100       1      13  
   689   10140      14       1     100       1      12  
   690   10153      13       1     100       1      11  
   691   10165      12       1     100       1      10  
   692   10177      12       1     100       1      10  
   693   10190      13       1     100       1      11  
   694   10201      11       1     100       1       9  
   695   10212      11       1     100       1       9  
   696   10224      12       1     100       1      10  
   697   10238      14       1     100       4       9  
   698   10252      14       1     100       1      12  
   699   10265      13       1     100       1      11  
   700   10278      13       1     100       1      11  
   701   10291      13       1     100       1      11  
   702   10305      14       1     100       2      11  
   703   10318      13       1     100       1      11  
   704   10332      14       1     100       1      12  
   705   10345      13       1     100       1      11  
   706   10359      14       1     100       1      12  
   707   10373      14       1     100       1      12  
   708   10387      14       1     100       1      12  
   709   10400      13       1     100       1      11  
   710   10414      14       1     100       1      12  
   711   10428      14       1     100       1      12  
   712   10441      13       1     100       1      11  
   713   10453      12       1     100       1      10  
   714   10471      18       1     100       3      14  
   715   10486      15       1     100       1      13  
   716   10503      17       1     100       1      15  
   717   10516      13       1     100       1      11  
   718   10532      16       1     100       1      14  
   719   10545      13       1     100       1      11  
   720   10558      13       1     100       1      11  
   721   10571      13       1     100       1      11  
   722   10584      13       1     100       1      11  
   723   10597      13       1     100       1      11  
   724   10610      13       1     100       1      11  
   725   10623      13       1     100       1      11  
   726   10636      13       1     100       1      11  
   727   10649      13       1     100       1      11  
   728   10661      12       1     100       1      10  
   729   10673      12       1     100       1      10  
   730   10688      15       1     100       2      12  
   731   10709      21       1     100       3      17  
   732   10725      16       1     100       1      14  
   733   10738      13       1     100       1      11  
   734   10752      14       1     100       1      12  
   735   10768      16       1     100       1      14  
   736   10784      16       1     100       1      14  
   737   10799      15       1     100       1      13  
   738   10813      14       1     100       1      12  
   739   10827      14       1     100       1      12  
   740   10841      14       1     100       1      12  
   741   10854      13       1     100       1      11  
   742   10868      14       1     100       1      12  
   743   10882      14       1     100       1      12  
   744   10904      22       1     100       6      15  
   745   10921      17       1     100       2      14  
   746   10938      17       1     100       1      15  
   747   10954      16       1     100       1      14  
   748   10972      18       1     100       1      16  
   749   10988      16       1     100       1      14  
   750   11003      15       1     100       1      13  
   751   11018      15       1     100       1      13  
   752   11032      14       1     100       1      12  
   753   11047      15       1     100       1      13  
   754   11060      13       1     100       1      11  
   755   11074      14       1     100       1      12  
   756   11095      21       1     100       4      16  
   757   11110      15       1     100       1      13  
   758   11134      24       1     100       7      16  
   759   11153      19       1     100       1      17  
   760   11170      17       1     100       1      15  
   761   11187      17       1     100       1      15  
   762   11203      16       1     100       1      14  
   763   11219      16       1     100       1      14  
   764   11235      16       1     100       1      14  
   765   11252      17       1     100       1      15  
   766   11270      18       1     100       1      16  
   767   11286      16       1     100       1      14  
   768   11306      20       1     100       3      16  
   769   11323      17       1     100       1      15  
   770   11338      15       1     100       1      13  
   771   11354      16       1     100       1      14  
   772   11369      15       1     100       1      13  
   773   11388      19       1     100       1      17  
   774   11404      16       1     100       1      14  
   775   11419      15       1     100       1      13  
   776   11434      15       1     100       1      13  
   777   11448      14       1     100       1      12  
   778   11462      14       1     100       1      12  
   779   11494      32       1     100       8      23  
   780   11515      21       1     100       1      19  
   781   11533      18       1     100       1      16  
   782   11550      17       1     100       1      15  
   783   11566      16       1     100       1      14  
   784   11583      17       1     100       1      15  
   785   11598      15       1     100       1      13  
   786   11613      15       1     100       1      13  
   787   11628      15       1     100       1      13  
   788   11643      15       1     100       1      13  
   789   11657      14       1     100       1      12  
   790   11672      15       1     100       1      13  
   791   11685      13       1     100       1      11  
   792   11698      13       1     100       1      11  
   793   11712      14       1     100       1      12  
   794   11726      14       1     100       2      11  
   795   11741      15       1     100       1      13  
   796   11758      17       1     100       2      14  
   797   11772      14       1     100       1      12  
   798   11787      15       1     100       1      13  
   799   11805      18       1     100       1      16  
   800   11820      15       1     100       1      13  
