Time  Coordinate0  Coordinate1  Coordinate2  Displacement0  Displacement1  Displacement2  Force0  Force1  Force2  
 2.20000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   9.67446392e-08   1.26098737e-06  -1.17831412e-05   1.22141368e-06   1.13520119e-05   1.37822216e-07  
 2.22500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.00057078e-07   1.31774361e-06  -1.24305185e-05   1.24528031e-06   1.16664895e-05   1.40887767e-07  
 2.25000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.03465617e-07   1.37655957e-06  -1.30893977e-05   1.26116881e-06   1.18192485e-05   1.43819824e-07  
 2.27500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.06975034e-07   1.43754914e-06  -1.37592756e-05   1.29472196e-06   1.23209632e-05   1.46811675e-07  
 2.30000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.10591248e-07   1.50087258e-06  -1.44396737e-05   1.30770308e-06   1.24214889e-05   1.49601068e-07  
 2.32500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.14308527e-07   1.56638513e-06  -1.51301161e-05   1.33415824e-06   1.27753526e-05   1.52432811e-07  
 2.35000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.18141860e-07   1.63447683e-06  -1.58301492e-05   1.36740912e-06   1.32742750e-05   1.55271162e-07  
 2.37500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.22090591e-07   1.70512636e-06  -1.65393324e-05   1.38775045e-06   1.35099317e-05   1.57960054e-07  
 2.40000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.26154150e-07   1.77831434e-06  -1.72572370e-05   1.40987665e-06   1.37829051e-05   1.60623298e-07  
 2.42500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.30346109e-07   1.85438842e-06  -1.79834460e-05   1.43827041e-06   1.41881899e-05   1.63308082e-07  
 2.45000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.34665790e-07   1.93332672e-06  -1.87175549e-05   1.47385869e-06   1.47284502e-05   1.66031052e-07  
 2.47500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.39114145e-07   2.01514184e-06  -1.94591659e-05   1.49482507e-06   1.49771498e-05   1.68594724e-07  
 2.50000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.43698338e-07   2.10003305e-06  -2.02078954e-05   1.51560163e-06   1.52282609e-05   1.71120098e-07  
 2.52500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.48426044e-07   2.18817060e-06  -2.09633598e-05   1.53988341e-06   1.55470487e-05   1.73660406e-07  
 2.55000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.53297403e-07   2.27956849e-06  -2.17251890e-05   1.56830049e-06   1.59435113e-05   1.76233280e-07  
 2.57500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.58319081e-07   2.37440363e-06  -2.24930220e-05   1.59216559e-06   1.62537623e-05   1.78742426e-07  
 2.60000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.63497343e-07   2.47283394e-06  -2.32665102e-05   1.60952151e-06   1.64374898e-05   1.81166989e-07  
 2.62500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.68832101e-07   2.57483493e-06  -2.40453128e-05   1.64062825e-06   1.68875799e-05   1.83759092e-07  
 2.65000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.74335523e-07   2.68070620e-06  -2.48291014e-05   1.67019081e-06   1.73133582e-05   1.86335528e-07  
 2.67500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.80011144e-07   2.79058087e-06  -2.56175624e-05   1.71200207e-06   1.79808470e-05   1.89106914e-07  
 2.70000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.85860010e-07   2.90442776e-06  -2.64103839e-05   1.72796816e-06   1.81324168e-05   1.91521642e-07  
 2.72500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.91893230e-07   3.02254745e-06  -2.72072634e-05   1.76033578e-06   1.86164905e-05   1.94196507e-07  
 2.75000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.98116426e-07   3.14511542e-06  -2.80079090e-05   1.78899166e-06   1.90265153e-05   1.96843734e-07  
 2.77500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.04525361e-07   3.27200201e-06  -2.88120374e-05   1.81737508e-06   1.94191163e-05   1.99517295e-07  
 2.80000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.11140548e-07   3.40373726e-06  -2.96193590e-05   1.84199535e-06   1.97553010e-05   2.02168902e-07  
 2.82500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.17957301e-07   3.54019589e-06  -3.04296125e-05   1.88158402e-06   2.03828889e-05   2.05118912e-07  
 2.85000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.24993921e-07   3.68187273e-06  -3.12425399e-05   1.91046398e-06   2.08102694e-05   2.07950226e-07  
