TimeWindow  TotalIterations  Iterations  Convergence  
   712   10441      13       1  
   713   10453      12       1  
   714   10471      18       1  
   715   10486      15       1  
   716   10503      17       1  
   717   10516      13       1  
   718   10532      16       1  
   719   10545      13       1  
   720   10558      13       1  
   721   10571      13       1  
   722   10584      13       1  
   723   10597      13       1  
   724   10610      13       1  
   725   10623      13       1  
   726   10636      13       1  
   727   10649      13       1  
   728   10661      12       1  
   729   10673      12       1  
   730   10688      15       1  
   731   10709      21       1  
   732   10725      16       1  
   733   10738      13       1  
   734   10752      14       1  
   735   10768      16       1  
   736   10784      16       1  
   737   10799      15       1  
   738   10813      14       1  
   739   10827      14       1  
   740   10841      14       1  
   741   10854      13       1  
   742   10868      14       1  
   743   10882      14       1  
   744   10904      22       1  
   745   10921      17       1  
   746   10938      17       1  
   747   10954      16       1  
   748   10972      18       1  
   749   10988      16       1  
   750   11003      15       1  
   751   11018      15       1  
   752   11032      14       1  
   753   11047      15       1  
   754   11060      13       1  
   755   11074      14       1  
   756   11095      21       1  
   757   11110      15       1  
   758   11134      24       1  
   759   11153      19       1  
   760   11170      17       1  
   761   11187      17       1  
   762   11203      16       1  
   763   11219      16       1  
   764   11235      16       1  
   765   11252      17       1  
   766   11270      18       1  
   767   11286      16       1  
   768   11306      20       1  
   769   11323      17       1  
   770   11338      15       1  
   771   11354      16       1  
   772   11369      15       1  
   773   11388      19       1  
   774   11404      16       1  
   775   11419      15       1  
   776   11434      15       1  
   777   11448      14       1  
   778   11462      14       1  
   779   11494      32       1  
   780   11515      21       1  
   781   11533      18       1  
   782   11550      17       1  
   783   11566      16       1  
   784   11583      17       1  
   785   11598      15       1  
   786   11613      15       1  
   787   11628      15       1  
   788   11643      15       1  
   789   11657      14       1  
   790   11672      15       1  
   791   11685      13       1  
   792   11698      13       1  
   793   11712      14       1  
   794   11726      14       1  
   795   11741      15       1  
   796   11758      17       1  
   797   11772      14       1  
   798   11787      15       1  
   799   11805      18       1  
   800   11820      15       1  
